================Induction Method====================
--------------------sky1.dat--------------------
 1  9
 4  6
 6  7
10  6
13  9
20 18
26  6
28  9
30 12
32 17
33 12
35  7
38  8
40 12
43 10
45  6
49 10
52 17
54 10
57  8
60 11
65 13
68  9
70  0
72  6
75  7
80  9
83  4
85  8
86  5
95 12
97 20
99 12
100  0


--------------------sky2.dat--------------------
 1  1
 2  3
 3  9
 6 10
 7  9
 8  4
10  7
11  8
18  7
20  4
22  6
23 11
26  9
30 11
33 13
35  8
37 10
38  8
39  4
40  1
45  7
46  8
48  7
49  1
55  4
58  2
60  0


--------------------sky3.dat--------------------
 1  1
 2  2
 3  3
 4  4
 5  5
 6  6
 7  7
 8  8
 9  9
10 10
11 11
12 12
13 14
14 17
15 21
16 26
17 21
18 17
19 14
20 12
21 11
22 10
23  9
24  8
25  7
26  6
27  5
28  4
29  3
30  2
31  1
32  0


============Divide-and-Conquer Method==================
--------------------sky1.dat--------------------
 1  9
 4  6
 6  7
10  6
12  0
13  9
20 18
26  6
28  9
30 12
32 17
33 12
35  7
38  8
40 12
43 10
45  6
49 10
52 17
54 10
57  8
60 11
65 13
68  9
70  0
72  6
75  7
80  9
83  4
85  8
86  5
95 12
97 20
99 12


--------------------sky2.dat--------------------
 1  1
 2  3
 3  9
 6 10
 7  9
 8  4
10  7
11  8
16  7
17  8
18  7
20  4
22  6
23 11
26  4
27  9
30 11
33 13
35  4
36  8
37 10
38  8
39  4
40  1
45  7
46  8
48  7
49  1
55  4
58  2


--------------------sky3.dat--------------------
 1  1
 2  2
 3  3
 4  4
 5  5
 6  6
 7  7
 8  8
 9  9
10 10
11 11
12 12
13 14
14 17
15 21
16 26
17 21
18 17
19 14
20 12
21 11
22 10
23  9
24  8
25  7
26  6
27  5
28  4
29  3
30  2
31  1
